name,price,links,Image_link
TECNO BF6 POP 7 64GB 2GB RAM + FREE FILM PROTECTOR UZIEN,839,https://compughana.com/tecno-bf6-pop-7-64gb-2gb-ram.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/f/bf6_2.jpg
TECNO BE6 POP 6 GO 16GB 1GB RAM,649,https://compughana.com/tecno-16gb-1gb-ram-be6-pop-6-go.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/e/be62_1.jpg
TECNO BE6 POP 6GO 32GB 2GB RAM ,699,https://compughana.com/tecno-be6-pop-6-go-32gb-2gb-ram.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/e/be62.jpg
TECNO BF7 POP 7 PRO 64GB 3GB RAM,"1,000.00",https://compughana.com/tecno-bf7-pop-7-pro-64gb-3gb-ram.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/f/bf7_tecno.jpg
TECNO BF7 POP 7 PRO 64GB 4GB RAM ,"1,040.00",https://compughana.com/tecno-bf7-pop-7-pro-64gb-4gb-ram.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/f/bf7_7pro_1.jpg
TECNO BE6J POP 6 GO 4G 32GB 2GM RAM,749,https://compughana.com/tecno-be6j-pop-6-go-4g-32gb-2gm-ram.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/e/be61_1.jpg
TECNO BD2P POP 5 32GB 2GB RAM ,699,https://compughana.com/tecno-bd2p-pop-5-32gb-2-gb-ram.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/d/bd2p2.jpg
TECNO BD2D POP 5 32GB 2GB RAM ,699,https://compughana.com/tecno-bd2d-pop-5-32gb-2gb-ram.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/d/bd2d1_2.jpg
TECNO BD3 POP 5 PRO 32GB 2GB RAM ,749,https://compughana.com/tecno-32gb-2gb-ram-bd3-pop-5-pro.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/b/d/bd3a.jpg
TECNO KI5K SPARK 10C 128GB 4GB RAM + FREE FILM PROTECTOR UZIEN,"1,180.00",https://compughana.com/tecno-ki5k-spark-10c-128gb-4gb.html,https://compughana.com/media/catalog/product/cache/030716fc62035027b622eeef186d3d67/k/i/ki5k_10c.jpg
