Name,Price,Image-link,Links
Hp i7 envy (16/1tb) 14-es0033dx x360 Touchscreen,"13,400.00",https://frankotrading.com/wp-content/uploads/2023/10/0033-1-300x300.jpg,https://frankotrading.com/product/hp-i7-envy-16-1tb-14-es0033dx-x360-touchscreen/
Hp i7 envy (16/256ssd)13-ba1055nr Touchscreen,"12,800.00",https://frankotrading.com/wp-content/uploads/2023/10/1055-1-300x300.jpg,https://frankotrading.com/product/hp-i7-envy-16-256ssd13-ba1055nr-touchscreen/
HP i9 Omen (16/1tbssd)16-k0033dx Nvidia Gaming Laptop,"18,000.00",https://frankotrading.com/wp-content/uploads/2023/10/omen-1-300x300.jpg,https://frankotrading.com/product/hp-i9-omen-16-1tbssd16-k0033dx-nvidia-gaming-laptop/
Hp i7 envy (16/512ssd)15-Es2501dx x360 Touchscreen,"10,500.00",https://frankotrading.com/wp-content/uploads/2023/10/25011-300x300.jpg,https://frankotrading.com/product/hp-i7-envy-16-512ssd15-es2501dx-x360/
HP envy i5 ( 8/512 ) 14-es0013dx x360,"9,700.00",https://frankotrading.com/wp-content/uploads/2023/10/0013-3-300x300.jpg,https://frankotrading.com/product/hp-envy-i5-8-512-14-es0013dx-x360/
Hp i7 victus ( 16/512ssd) 15-fa1095nia Nvidia Gaming Laptop,"14,100.00",https://frankotrading.com/wp-content/uploads/2022/08/victus-1-300x300.jpg,https://frankotrading.com/product/hp-i7-victus-16-512ssd-15-fa1095nia-nvidia-gaming-laptop/
Asus i7 Moonro (32/1tbssd) B5302ce,"9,950.00",https://frankotrading.com/wp-content/uploads/2023/10/asus-1-300x300.jpg,https://frankotrading.com/product/asus-i7-moonro-32-1tbssd-b5302ce/
HP Cel (4/1tb) 15-Dw1495Nia 15″,"3,050.00",https://frankotrading.com/wp-content/uploads/2023/05/1495-1-300x300.jpg,https://frankotrading.com/product/hp-cel-4-1tb-15-dw1495nia-15/
Lenovo Cel V14 (4/256ssd) 82C2 14″,"2,800.00",https://frankotrading.com/wp-content/uploads/2023/09/V14-8-300x300.jpg,https://frankotrading.com/product/lenovo-cel-v14-4-256ssd-82c2-14/
HP Cel (4/256ssd) 15-DW1213Nia (N4020),"3,500.00",https://frankotrading.com/wp-content/uploads/2023/08/1213-1-300x300.jpg,https://frankotrading.com/product/hp-cel-4-256ssd-15-dw1213nia-n4020/
Dell i7 vostro (8/512ssd) 3510 11th Gen 15.6″,"8,700.00",https://frankotrading.com/wp-content/uploads/2023/07/vostro-300x197.jpg,https://frankotrading.com/product/dell-i7-vostro-8-512ssd-3510-11th-gen-15-6/
